"ID","Producer","EntryPipe","EntryAnonymization","ExitAnonymization","ExitPipe","Consumer"
"02c434d3-e0d2-4f35-aaab-7c5d164f82a6","1693457936400","1693457941571","1693457941674","1693457954615","1693457954617","1693457955440"
"8ec51e52-627a-419b-b9e7-fa7b26e3c3ac","1693457935437","1693457939601","1693457939711","1693457949467","1693457949468","1693457949845"
"ed1195a9-e84b-49a7-a189-56723c577997","1693457936096","1693457941017","1693457941089","1693457954615","1693457954617","1693457955440"
"fbcb9d5d-9f91-430e-aa40-c7d6a46646af","1693457936147","1693457941093","1693457941158","1693457949467","1693457949468","1693457949845"
"e0d0448c-ee49-4098-846d-edd1f47ac66f","1693457937009","1693457942790","1693457942860","1693457949467","1693457949468","1693457949845"
"0646ff1c-7a7f-4658-b066-b43bc6b04336","1693457935234","1693457939021","1693457939227","1693457954615","1693457954617","1693457955440"
"07ef3b2d-e749-48be-a12d-bddffcb4cdae","1693457934930","1693457938410","1693457938619","1693457949467","1693457949468","1693457949845"
"88fddfb5-661e-4d54-8317-f8d4d07c6b73","1693457937415","1693457943589","1693457943657","1693457946980","1693457946981","1693457947208"
"dfe00adb-ac25-4c78-9f78-f9d847045b43","1693457938380","1693457945476","1693457945553","1693457966045","1693457966045","1693457966277"
"d4b1842b-5a47-4469-90bc-23668129e91e","1693457936959","1693457942718","1693457942786","1693457946980","1693457946981","1693457947208"
"967a9e6c-a10e-4998-8d72-98099c16550b","1693457936705","1693457942125","1693457942210","1693457954615","1693457954617","1693457955440"
"66d27a8f-2bb6-46a1-beae-0969c6606335","1693457935843","1693457940541","1693457940611","1693457946980","1693457946981","1693457947208"
"ee38dc43-4ea7-4ed8-9c46-03324be616f5","1693457934118","1693457936440","1693457936574","1693457949467","1693457949468","1693457949845"
"740b0d61-2887-468a-897a-383d00b6a4b4","1693457937821","1693457944294","1693457944371","1693457966045","1693457966045","1693457966277"
"d11e5eed-e671-4bc9-920b-ac6a4f7cb0e3","1693457937060","1693457942865","1693457942941","1693457954615","1693457954617","1693457955440"
"39627d53-a140-4596-85c6-19f4fae8a3bd","1693457936654","1693457942033","1693457942122","1693457954615","1693457954617","1693457955440"
"fefe7d8b-5034-4e60-8681-9036016aff88","1693457934625","1693457937921","1693457937993","1693457949467","1693457949468","1693457949845"
"f170f883-b0f3-45e9-a464-8a65ab93c8a3","1693457933863","1693457935878","1693457935962","1693457954615","1693457954617","1693457955440"
"a83b8b94-d721-4a7a-8a1f-cdcf15b3a987","1693457934727","1693457938093","1693457938164","1693457949467","1693457949468","1693457949845"
"6708ea4d-55e4-4646-8fb5-31fda4f9a283","1693457938176","1693457945076","1693457945146","1693457954615","1693457954617","1693457955440"
"b0074bf6-3171-42b5-9185-239bd10a2ec4","1693457935944","1693457940693","1693457940760","1693457949467","1693457949468","1693457949845"
"6c9e02fe-3002-4364-b6a5-7f8783bfa61a","1693457938075","1693457944872","1693457944978","1693457946026","1693457946027","1693457946287"
"be1a10aa-8cc6-48a1-8b58-1dd96efb6e4b","1693457933761","1693457935491","1693457935630","1693457949467","1693457949468","1693457949845"
"b9c1ab34-bdcb-4d07-bd9b-3a49488d1adb","1693457935995","1693457940767","1693457940940","1693457949467","1693457949468","1693457949845"
"d40190cf-30ff-4c5b-837a-69af0391bb21","1693457936756","1693457942216","1693457942298","1693457946980","1693457946981","1693457947208"
"a147f9c0-5ed0-4713-b54b-5737ca9ea062","1693457937212","1693457943147","1693457943218","1693457946026","1693457946027","1693457946287"
"1071d4cb-ad39-494b-9905-230936632d9a","1693457934016","1693457936235","1693457936349","1693457946980","1693457946981","1693457947208"
"a45073f0-2839-40b9-a5b6-d9c32a65288c","1693457938024","1693457944741","1693457944867","1693457954615","1693457954617","1693457955440"
"a3c7cffd-14ff-4050-90d7-9e50715f09f5","1693457937923","1693457944448","1693457944622","1693457946980","1693457946981","1693457947208"
